__time,/imu/angular_velocity/x,/imu/angular_velocity/y,/imu/angular_velocity/z,/imu/angular_velocity_covariance[0;0],/imu/angular_velocity_covariance[0;1],/imu/angular_velocity_covariance[0;2],/imu/angular_velocity_covariance[1;1],/imu/angular_velocity_covariance[1;2],/imu/angular_velocity_covariance[2;2],/imu/header/seq,/imu/header/stamp,/imu/linear_acceleration/x,/imu/linear_acceleration/y,/imu/linear_acceleration/z,/imu/linear_acceleration_covariance[0;0],/imu/linear_acceleration_covariance[0;1],/imu/linear_acceleration_covariance[0;2],/imu/linear_acceleration_covariance[1;1],/imu/linear_acceleration_covariance[1;2],/imu/linear_acceleration_covariance[2;2],/imu/orientation/pitch_deg,/imu/orientation/roll_deg,/imu/orientation/w,/imu/orientation/x,/imu/orientation/y,/imu/orientation/yaw_deg,/imu/orientation/z,/imu/orientation_covariance[0;0],/imu/orientation_covariance[0;1],/imu/orientation_covariance[0;2],/imu/orientation_covariance[1;1],/imu/orientation_covariance[1;2],/imu/orientation_covariance[2;2]
93.680000,0.009172,0.003741,-0.000416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.000000,93.679000,0.059459,-0.000829,9.747009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.298014,0.029213,0.996281,0.000030,-0.002613,-9.881391,-0.086124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.780000,0.015847,0.019528,-0.022440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.000000,93.779000,0.051480,0.031385,9.791120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297730,0.029891,0.996262,0.000036,-0.002611,-9.907329,-0.086349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.880000,0.006258,0.002067,0.000158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.000000,93.879000,0.048936,-0.021006,9.805634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.298102,0.029299,0.996244,0.000030,-0.002614,-9.930867,-0.086554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.980000,0.025748,0.020152,-0.025349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.000000,93.979000,0.051844,0.031152,9.807787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297651,0.029955,0.996224,0.000035,-0.002610,-9.956621,-0.086778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.080000,-0.007610,-0.002603,0.001314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.000000,94.079000,0.044469,-0.006698,9.821363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.298038,0.029384,0.996206,0.000029,-0.002613,-9.980439,-0.086985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.180000,-0.002173,-0.006958,0.001452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.000000,94.179000,0.046422,0.007651,9.804899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.297920,0.029366,0.996186,0.000029,-0.002612,-10.007088,-0.087216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.280000,0.005834,0.002008,0.000204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.000000,94.279000,0.061208,-0.011415,9.762754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.298102,0.029324,0.996169,0.000028,-0.002614,-10.029714,-0.087413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.380000,0.009676,0.009084,-0.003126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.000000,94.379000,0.061418,0.015068,9.806124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.298034,0.029234,0.996148,0.000026,-0.002613,-10.057057,-0.087651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.480000,-0.020420,-0.030955,-0.013573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.000000,94.479000,1.057833,0.056261,9.740401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.307445,-0.004543,0.996108,-0.000276,-0.002669,-10.108113,-0.088095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.580000,0.026184,-0.055114,0.000245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.000000,94.579000,1.033771,-0.120583,9.831594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.307760,-0.004893,0.996037,-0.000281,-0.002671,-10.200231,-0.088896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.680000,0.018164,-0.020033,0.001426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.000000,94.679000,1.164534,0.015244,9.839671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.308742,-0.003549,0.996045,-0.000270,-0.002681,-10.190091,-0.088808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94.780000,0.002387,0.055323,1.016438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.000000,94.779000,2.244279,-1.611574,9.713970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.307326,-0.000217,0.997586,-0.000188,-0.002675,-7.957176,-0.069383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
